  model , 符号    , alldiff , PHP , kernel , N=8 C=9 , N=9 C=10 , N=10 C=11 , N=11 C=12 , N=12 C=13
  0     , OE      , neq     , 0   ,        , 1.053   , 2.280    , TO        , TO        , TO
  1     , OE      , neq     , 1   ,        , 0.036   , 10.663   , TO        , TO        , TO
  2     , OE<=>DE , neq     , 0   ,        , 1.456   , 11.838   , TO        , TO        , TO
  4     , OE<=>DE , neq     , 1   ,        , 1.197   , 13.797   , 1042.342  , TO        , TO
  6     , OE<=>DE , PB      , 0   ,        , 4.125   , 5.133    , 4712.599  , TO        , TO
  7     , OE<=>DE , PB      , 1   ,        , 1.855   , 9.640    , 5248.163  , TO        , TO
  8     , OE<=>DE , 大野3   , 0   ,        , 0.502   , 18.096   , TO        , TO        , TO
  9     , OE<=>DE , 大野3   , 1   ,        , 1.936   , 1.958    , 1438.766  , TO        , TO
  10    , OE<=>DE , 大野4   , 0   ,        , 0.404   , 24.845   , 123.527   , TO        , TO
  11    , OE<=>DE , 大野4   , 1   ,        , 1.457   , 19.329   , 2682.197  , TO        , TO
  12    , OE=>MVE , neq     , 0   , 0      , 0.091   , 6.319    , 542.155   , TO        , TO
  13    , OE=>MVE , neq     , 0   , 1      , 0.426   , 11.204   , 148.194   , TO        , TO
  16    , OE=>MVE , neq     , 1   , 0      , 3.698   , 9.898    , 2181.056  , TO        , TO
  17    , OE=>MVE , neq     , 1   , 1      , 0.135   , 4.444    , TO        , TO        , TO
  20    , OE=>MVE , PB      , 0   , 0      , 0.551   , 0.079    , TO        , TO        , TO
  21    , OE=>MVE , PB      , 0   , 1      , 0.558   , 1.701    , 1557.683  , TO        , TO
  22    , OE=>MVE , PB      , 1   , 0      , 5.756   , 6.394    , 1834.187  , TO        , TO
  23    , OE=>MVE , PB      , 1   , 1      , 0.157   , 11.333   , 1059.484  , TO        , TO
  24    , OE=>MVE , 大野3   , 0   , 0      , 1.711   , 59.162   , 4852.973  , TO        , TO
  25    , OE=>MVE , 大野3   , 0   , 1      , 2.690   , 33.712   , TO        , TO        , TO
  26    , OE=>MVE , 大野3   , 1   , 0      , 4.869   , 8.683    , TO        , TO        , TO
  27    , OE=>MVE , 大野3   , 1   , 1      , 6.598   , 137.804  , TO        , TO        , TO
  28    , OE=>MVE , 大野4   , 0   , 0      , 2.954   , 16.938   , 3903.732  , TO        , TO
  29    , OE=>MVE , 大野4   , 0   , 1      , 3.754   , 111.038  , TO        , TO        , TO
  30    , OE=>MVE , 大野4   , 1   , 0      , 5.778   , 10.363   , TO        , TO        , TO
  31    , OE=>MVE , 大野4   , 1   , 1      , 4.880   , 74.860   , TO        , TO        , TO
